domain,unicode,tags,price,description,for_sale,personal_store,auto_renew
exoticsinc,,,33,,TRUE,TRUE,TRUE
exportsy,,,11,,TRUE,TRUE,TRUE
ezhot,,,55,,TRUE,TRUE,TRUE
fabtec,,,22,,TRUE,TRUE,TRUE
facebookhelp,,,11,,TRUE,TRUE,TRUE
falcondo,,,44,"Falconbridge Dominicana S.A. (Falcondo), owned by Americano Nickel Ltd, operates the Falcondo ferronickel mine in the Dominican Republic.",TRUE,TRUE,TRUE
familyfirewall,,,22,,TRUE,TRUE,TRUE
farizon,,,22,,TRUE,TRUE,TRUE
farmcareer,,,33,,TRUE,TRUE,TRUE
farmiliar,,,22,,TRUE,TRUE,TRUE
farmingfriends,,,55,,TRUE,TRUE,TRUE
fastgym,,,44,,TRUE,TRUE,TRUE
fatalcohol,,,22,fatal alcohol | fat alcohol,TRUE,TRUE,TRUE
fauzen,,,11,,TRUE,TRUE,TRUE
faxt,,,4444,,TRUE,TRUE,TRUE
feedlet,,,11,,TRUE,TRUE,TRUE
feeldumb,,,22,,TRUE,TRUE,TRUE
fertilityfoods,,,22,,TRUE,TRUE,TRUE
festivalist,,,22,,TRUE,TRUE,TRUE
fiddypence,,,11,,TRUE,TRUE,TRUE
fidgetpad,,,22,,TRUE,TRUE,TRUE
fightingchairs,,,11,,TRUE,TRUE,TRUE
findigo,,,22,,TRUE,TRUE,TRUE
finew3b,,,33,,TRUE,TRUE,TRUE
fingerspelling,,,333,"Representation of the letters of a writing system, and sometimes numeral systems, using only the hands.",TRUE,TRUE,TRUE
firemama,,,55,,TRUE,TRUE,TRUE
firstcaribbean,,,11,,TRUE,TRUE,TRUE
fishingonthechain,,,22,,TRUE,TRUE,TRUE
fishroe,,,55,,FALSE,FALSE,TRUE
flag-store,,,22,,TRUE,TRUE,TRUE
flag-waving,,,33,,TRUE,TRUE,TRUE
flashmatrix,,,22,,TRUE,TRUE,TRUE
flipyeah,,,55,,TRUE,TRUE,TRUE
fliyer,,,22,[flier\flyer],TRUE,TRUE,TRUE
flowlist,,,22,,TRUE,TRUE,TRUE
focillate,,,11,IT 'focus | Latin 'mobilize',TRUE,TRUE,TRUE
folkbook,,,55,,TRUE,TRUE,TRUE
fomomofos,,,222,,TRUE,TRUE,TRUE
foodreactions,,,22,,TRUE,TRUE,TRUE
footdragon,,,11,,TRUE,TRUE,TRUE
fortunetrain,,,22,,TRUE,TRUE,TRUE
freeeeak,,,22,,TRUE,TRUE,TRUE
freeworlddomains,,,55,,TRUE,TRUE,TRUE
freshraw,,,222,,TRUE,TRUE,TRUE
friendlyfellow,,,11,,TRUE,TRUE,TRUE
friendlyname,,,22,,TRUE,TRUE,TRUE
froots,,,333,[fruits],TRUE,TRUE,TRUE
frozenmeal,,,44,,TRUE,TRUE,TRUE
fruitandveg,,,111,,TRUE,TRUE,TRUE
fuhren,,,11,,TRUE,TRUE,TRUE
fuij,,,444,,TRUE,TRUE,TRUE
funjest,,,22,,TRUE,TRUE,TRUE
funnycritters,,,22,,TRUE,TRUE,TRUE
funnycrypto,,,22,,TRUE,TRUE,TRUE
funodd,,,22,,TRUE,TRUE,TRUE
furryfrenz,,,22,,TRUE,TRUE,TRUE
futuredad,,,44,,TRUE,TRUE,TRUE
futurepack,,,22,,TRUE,TRUE,TRUE
fux4,,,222,,TRUE,TRUE,TRUE
galacticnode,,,111,,TRUE,TRUE,TRUE
galaxyglow,,,22,,TRUE,TRUE,TRUE
gamifies,,,555,,TRUE,TRUE,TRUE
ganjagrotto,,,22,,TRUE,TRUE,TRUE
garlicmayo,,,44,,TRUE,TRUE,TRUE
gasavage,,,11,,TRUE,TRUE,TRUE
gasellers,,,11,,TRUE,TRUE,TRUE
gashepherd,,,11,,TRUE,TRUE,TRUE
gashort,,,11,,TRUE,TRUE,TRUE
gasparks,,,11,,TRUE,TRUE,TRUE
gauni,,,44,Swahili 'gown',TRUE,TRUE,TRUE
geekle,,,222,,TRUE,TRUE,TRUE
geeksquare,,,22,,TRUE,TRUE,TRUE
gehort,,,444,"DE verb - belong, pertain, appertain, deserve",FALSE,FALSE,TRUE
geigers,,,69,,TRUE,TRUE,TRUE
gelded,,,55,,TRUE,TRUE,TRUE
geometra,,,222,IN 'geometrician' | genus of moths,TRUE,TRUE,TRUE
getbtcx,,,111,,TRUE,TRUE,TRUE
getmeouttahere,,,22,,FALSE,FALSE,TRUE
geyi,,,44,,TRUE,TRUE,TRUE
giftxmas,,,22,,TRUE,TRUE,TRUE
giss888,,,88,,TRUE,TRUE,TRUE
globallynomadic,,,22,,FALSE,FALSE,TRUE
globalmachinery,,,22,,TRUE,TRUE,TRUE
globe-trot,,,55,,TRUE,TRUE,TRUE
glucklich,,,444,"DE adjective - happy, lucky, fortunate .. adverb - happily, by luck, through luck",FALSE,FALSE,TRUE
godupdates,,,555,,TRUE,TRUE,TRUE
gohare,,,22,,TRUE,TRUE,TRUE
goldenen,,,11,,TRUE,TRUE,TRUE
goldsilverstandard,,,22,,TRUE,TRUE,TRUE
goldsite,,,22,,TRUE,TRUE,TRUE
golfprodirectory,,,33.33,,TRUE,TRUE,TRUE
gomasta,,,111,Master of Go language,TRUE,TRUE,TRUE
goodbasics,,,22,,TRUE,TRUE,TRUE
goodkarma,,,11,,TRUE,TRUE,TRUE
goodyearmaps,,,11,,TRUE,TRUE,TRUE
googlez,,,1234,,TRUE,TRUE,TRUE
gostilij,,,111,Slovenian 'inns',TRUE,TRUE,TRUE
grabac,,,55,ES 'record',TRUE,TRUE,TRUE
grabezmala,,,22,BU 'grabbed' .. \ni grabbed it - you can too!,TRUE,TRUE,TRUE
graduationnight,,,22,,TRUE,TRUE,TRUE
grandchat,,,55,,TRUE,TRUE,TRUE
grandmoon,,,111,,TRUE,TRUE,TRUE
greycos,,,22,,TRUE,TRUE,TRUE
greymobile,,,11,,TRUE,TRUE,TRUE
grezin,,,22,,TRUE,TRUE,TRUE
grooveon,,,22,,TRUE,TRUE,TRUE
growdao,,,22,,TRUE,TRUE,TRUE
guccihat,,,22,,TRUE,TRUE,TRUE
guiddir,,,22,,TRUE,TRUE,TRUE
gulfwartimeline,,,11,,TRUE,TRUE,TRUE
guruforum,,,22,,TRUE,TRUE,TRUE
gurupost,,,22,,TRUE,TRUE,TRUE
guypics,,,111,,TRUE,TRUE,TRUE
gymaesthetics,,,22,,TRUE,TRUE,TRUE
gynecomania,,,22,Extreme sexual desire in the male; a compulsive desire for female sex partners,TRUE,TRUE,TRUE
habilito,,,33,"ES 'enable, qualify'",TRUE,TRUE,TRUE
habitsaver,,,22,,TRUE,TRUE,TRUE
hagsdorf,,,44,Bavarian town,TRUE,TRUE,TRUE
hahaquan,,,11,,TRUE,TRUE,TRUE
hamburgerheaven,,,22,,TRUE,TRUE,TRUE
hamuk,,,222,phonetic 'hammock',TRUE,TRUE,TRUE
hand-worked,,,33,,TRUE,TRUE,TRUE
handshakeoasis,,,555,,TRUE,TRUE,TRUE
handshaketothemoon,,,222,,TRUE,TRUE,TRUE
handyear,,,55,,TRUE,TRUE,TRUE
hangblockchain,,,22,,TRUE,TRUE,TRUE
happy21st,,,,,FALSE,FALSE,TRUE
happydecay,,,22,,TRUE,TRUE,TRUE
happyplant,,,77,,TRUE,TRUE,TRUE
hashrunes,,,10,,TRUE,TRUE,TRUE
hazardnews,,,22,,TRUE,TRUE,TRUE
headrhyme,,,11,,TRUE,TRUE,TRUE
healersathome,,,22,,TRUE,TRUE,TRUE
healthdocs,,,22,,TRUE,TRUE,TRUE
healthmed,,,22,,TRUE,TRUE,TRUE
herba-life,,,55,,TRUE,TRUE,TRUE
herblot,,,22,,TRUE,TRUE,TRUE
hergear,,,555,,TRUE,TRUE,TRUE
hetven,,,11,HU 'seventy',TRUE,TRUE,TRUE
hetvenne,,,11,HU 'seventies',TRUE,TRUE,TRUE
hetvischwater,,,11,Dutch 'the fishing water',FALSE,FALSE,TRUE
hetviswater,,,11,Dutch 'the fishing water',FALSE,FALSE,TRUE
hi.sname,,,,t-,FALSE,FALSE,FALSE
hiddenbookshelf,,,11,,TRUE,TRUE,TRUE
highfivehandshake,,,555,,TRUE,TRUE,TRUE
hisgirl,,,22,,TRUE,TRUE,TRUE
hisnibs,,,22,,TRUE,TRUE,TRUE
hitcharide,,,11,,TRUE,TRUE,TRUE
hn.sname,,,,t-,FALSE,FALSE,TRUE
hns.xn--nn8hc254cfa,,,,t-,FALSE,FALSE,TRUE
hnsbandana,,,123,,TRUE,TRUE,TRUE
hnssparkly,,,234,...pprreettttyy..... :D,TRUE,TRUE,TRUE
hnsxai,,,222,,TRUE,TRUE,TRUE
hodlbag,,,777,,TRUE,TRUE,TRUE
holistichns,,,999,,TRUE,TRUE,TRUE
holistique,,,2788,FR 'holistic'.,TRUE,TRUE,TRUE
homebasic,,,22,,TRUE,TRUE,TRUE
hongki,,,44,phonetic 'honky',TRUE,TRUE,TRUE
horseroad,,,22,,TRUE,TRUE,TRUE
hourdefi,,,66,,TRUE,TRUE,TRUE
how2code,,,222,,TRUE,TRUE,TRUE
howdoibuy,,,33,,TRUE,TRUE,TRUE
howtostartadiet,,,22,,TRUE,TRUE,TRUE
hsuh,,,444,4char hush[rev],TRUE,TRUE,TRUE
hsum,,,444,4char mush[rev] -drive the dog-team backwards | Health Sciences University of Mongolia,TRUE,TRUE,TRUE
htjoepo376i4q546bdr652w6yik3e63767a3us2wt7hxdtet4uta,,,,,FALSE,FALSE,FALSE
hucx,,,1234,,TRUE,TRUE,TRUE
humanfact,,,33,,TRUE,TRUE,TRUE
humantax,,,55,,TRUE,TRUE,TRUE
hungerburg,,,77,,TRUE,TRUE,TRUE
hyart,,,22,,TRUE,TRUE,TRUE
hyphenstudio,,,22,,TRUE,TRUE,TRUE
icav,,,444,,TRUE,TRUE,TRUE
icerescue,,,22,,TRUE,TRUE,TRUE
idioot,,,55,,TRUE,TRUE,TRUE
idrt,,,444,,TRUE,TRUE,TRUE
ifeelhappyandexcited,,,55,,TRUE,TRUE,TRUE
ijtv,,,444,ijit tv [idiot tevevision],TRUE,TRUE,TRUE
iknow,,,,t-,FALSE,FALSE,TRUE
illionth,,,111,,TRUE,TRUE,TRUE
imrah,,,22,,TRUE,TRUE,TRUE
inacura,,,11,,TRUE,TRUE,TRUE
indexpenny,,,55,,TRUE,TRUE,TRUE
indiair,,,555,,TRUE,TRUE,TRUE
indiaway,,,222,India way | India away,TRUE,TRUE,TRUE
inertianft,,,33,,TRUE,TRUE,TRUE
inmatesontheweb,,,11,,TRUE,TRUE,TRUE
inorderto,,,22,,TRUE,TRUE,TRUE
insertdate,,,22,,TRUE,TRUE,TRUE
inslowmo,,,22,,TRUE,TRUE,TRUE
instagranddad,,,44,,TRUE,TRUE,TRUE
instagranny,,,44,,TRUE,TRUE,TRUE
internetroaming,,,22,,TRUE,TRUE,TRUE
ironwares,,,111,,TRUE,TRUE,TRUE
isavi,,,22,,TRUE,TRUE,TRUE
isurgir,,,55,PT 'arise',TRUE,TRUE,TRUE
it-hub,,,88,,TRUE,TRUE,TRUE
italianization,,,44,,TRUE,TRUE,TRUE
itchfor,,,11,,TRUE,TRUE,TRUE
itlooksrare,,,11,,TRUE,TRUE,TRUE
ivegotit,,,2222,,TRUE,TRUE,TRUE
izlaw,,,22,,TRUE,TRUE,TRUE
j33z,,,1234,,TRUE,TRUE,TRUE
jawa,,,,,FALSE,FALSE,TRUE
jhnsi,,,22,,TRUE,TRUE,TRUE
jobofwork,,,22,,TRUE,TRUE,TRUE
jond,,,444,,TRUE,TRUE,TRUE
jpgking,,,123,,TRUE,TRUE,TRUE
justgeneric,,,22,,TRUE,TRUE,TRUE
justgoodthings,,,22,,TRUE,TRUE,TRUE
justsun,,,22,,TRUE,TRUE,TRUE
kaliyuga,,,22,,TRUE,TRUE,TRUE
kanggaru,,,555,Malay 'kangaroo',FALSE,FALSE,TRUE
karmabet,,,11,,TRUE,TRUE,TRUE
kelime,,,55,,TRUE,TRUE,TRUE
keptman,,,222,,TRUE,TRUE,TRUE
khnsi,,,22,,TRUE,TRUE,TRUE
kidpolicy,,,33,,TRUE,TRUE,TRUE
kihk,,,444,kick,TRUE,TRUE,TRUE
kiitana,,,69,,TRUE,TRUE,TRUE
king-of-shit,,,22,,TRUE,TRUE,TRUE
kingdomchairs,,,22,,TRUE,TRUE,TRUE
kinghaggard,,,44,https://thelastunicorn.fandom.com/wiki/King_Haggard,TRUE,TRUE,TRUE
kittenbach,,,555,"Town in Styria, Austria .. or a very musical young cat!",TRUE,TRUE,TRUE
kittenberg,,,444,A town in Bavaria .. or a _very_ large young cat!,FALSE,FALSE,TRUE
kittenegg,,,999,Imagine it :-) !!,TRUE,TRUE,TRUE
kkno,,,444,,TRUE,TRUE,TRUE
klib,,,444,,TRUE,TRUE,TRUE
knightstalker,,,22,,TRUE,TRUE,TRUE
kompus,,,22,,TRUE,TRUE,TRUE
koreataekwondo,,,,,FALSE,FALSE,TRUE
kraftwerken,,,22,DE 'power plants noun: power station',TRUE,TRUE,TRUE
krif,,,444,,TRUE,TRUE,TRUE
kthrash,,,22,,TRUE,TRUE,TRUE
kungfunecktie,,,22,,TRUE,TRUE,TRUE
kvhz,,,444,4char electrical notation [KiloVolt Hertz],TRUE,TRUE,TRUE
kwyt,,,1234,[quit/e],TRUE,TRUE,TRUE
labyrinthos,,,22,,TRUE,TRUE,TRUE
ladyriders,,,111,,FALSE,FALSE,TRUE
layawager,,,22,,TRUE,TRUE,TRUE
laydee,,,111,,FALSE,FALSE,TRUE
leathersupplies,,,22,,TRUE,TRUE,TRUE
legoforadults,,,33,,TRUE,TRUE,TRUE
lemonfa,,,11,,TRUE,TRUE,TRUE
leschats,,,55,FR 'the cats',TRUE,TRUE,TRUE
letterers,,,111,,TRUE,TRUE,TRUE
lifebets,,,33,,TRUE,TRUE,TRUE
lifespin,,,222,,TRUE,TRUE,TRUE
lifeview,,,777,,TRUE,TRUE,TRUE
lightyear0,,,22,,TRUE,TRUE,TRUE
liikunta,,,222,"Finnish noun: exercise, movement, physical education",TRUE,TRUE,TRUE
linguisticsai,,,44,,TRUE,TRUE,TRUE
linuks,,,222,,TRUE,TRUE,TRUE
litlove,,,33,,TRUE,TRUE,TRUE
loanwhale,,,55,,TRUE,TRUE,TRUE
logicz,,,55,,TRUE,TRUE,TRUE
londonbuildings,,,55,,TRUE,TRUE,TRUE
longfunny,,,11,,TRUE,TRUE,TRUE
lookatmynft,,,25,,TRUE,TRUE,TRUE
lookinmypc,,,22,,TRUE,TRUE,TRUE
lostbtc,,,222,,TRUE,TRUE,TRUE
losttoys,,,22,,TRUE,TRUE,TRUE
lovecatz,,,222,,TRUE,TRUE,TRUE
lovemypen,,,33,,TRUE,TRUE,TRUE
lowage,,,22,,TRUE,TRUE,TRUE
lowgear,,,,,FALSE,FALSE,TRUE
lowlust,,,11,,TRUE,TRUE,TRUE
lowrage,,,11,,TRUE,TRUE,TRUE
luffas,,,222,,TRUE,TRUE,TRUE
lunarai,,,222,,TRUE,TRUE,TRUE
lunarphase,,,2222,,TRUE,TRUE,TRUE
lunchtimes,,,33,,TRUE,TRUE,TRUE
lustfor,,,22,,TRUE,TRUE,TRUE
lustfullove,,,111,,TRUE,TRUE,TRUE
mailfun,,,22,,TRUE,TRUE,TRUE
mailmenu,,,22,,TRUE,TRUE,TRUE
majiko,,,22,,TRUE,TRUE,TRUE
manfriday,,,11,,TRUE,TRUE,TRUE
manteaus,,,22,"plural noun: a loose gown or cloak worn by women in the 17th and 18th centuries \ a long, loose coat or overshirt worn by Muslim women.",TRUE,TRUE,TRUE
manxiety,,,111,,TRUE,TRUE,TRUE
mapactive,,,22,,TRUE,TRUE,TRUE
mapready,,,22,,TRUE,TRUE,TRUE
mapsmobile,,,22,,TRUE,TRUE,TRUE
marihuanna,,,222,,TRUE,TRUE,TRUE
marmoz,,,22,,TRUE,TRUE,TRUE
marspaceship,,,22,,TRUE,TRUE,TRUE
maskdoge,,,555,,TRUE,TRUE,TRUE
matchwedding,,,22,,TRUE,TRUE,TRUE
mbkf,,,444,,TRUE,TRUE,TRUE
mdud,,,444,,TRUE,TRUE,TRUE
mdue,,,444,,TRUE,TRUE,TRUE
medeus,,,22,,TRUE,TRUE,TRUE
medibazaar,,,22,,TRUE,TRUE,TRUE
meditateandbreathe,,,22,,TRUE,TRUE,TRUE
meditime,,,22,,TRUE,TRUE,TRUE
meetblockchain,,,11,,TRUE,TRUE,TRUE
melbourneit,,,222,,FALSE,FALSE,TRUE
memetales,,,22,,TRUE,TRUE,TRUE
menumap,,,55,,TRUE,TRUE,TRUE
methusala,,,969,1HNS for the years he's said to have lived :-),TRUE,TRUE,TRUE
mexicanpinatas,,,22,,TRUE,TRUE,TRUE
mfir,,,444,,TRUE,TRUE,TRUE
mgwu,,,444,,TRUE,TRUE,TRUE
mhnsi,,,22,,TRUE,TRUE,TRUE
mikredki,,,22,,TRUE,TRUE,TRUE
mindfulnessmatters,,,22,,TRUE,TRUE,TRUE
mindteam,,,44,,TRUE,TRUE,TRUE
minerz,,,1010,,TRUE,TRUE,TRUE
mintila,,,222,Mintila Hot Chocolate (Tequila Mint),TRUE,TRUE,TRUE
mintsilo,,,33,,TRUE,TRUE,TRUE
misseat,,,22,miss-eat \ miss-seat,TRUE,TRUE,TRUE
mixwriter,,,22,,TRUE,TRUE,TRUE
mjob,,,444,,TRUE,TRUE,TRUE
mjoe,,,444,,TRUE,TRUE,TRUE
mjox,,,444,,TRUE,TRUE,TRUE
mmft,,,444,,TRUE,TRUE,TRUE
mmkm,,,444,,TRUE,TRUE,TRUE
mnab,,,444,,TRUE,TRUE,TRUE
mnap,,,444,,TRUE,TRUE,TRUE
moaj,,,444,,TRUE,TRUE,TRUE
mojidad,,,22,,TRUE,TRUE,TRUE
momdear,,,11,,TRUE,TRUE,TRUE
momhost,,,22,,TRUE,TRUE,TRUE
mompolicy,,,11,,TRUE,TRUE,TRUE
moneyisdead,,,55,,TRUE,TRUE,TRUE
monkeydojo,,,111,,TRUE,TRUE,TRUE
monkeyyoga,,,22,,FALSE,FALSE,TRUE
monki,,,22222,,TRUE,TRUE,TRUE
monophagy,,,55,feeding on a single type of food,TRUE,TRUE,TRUE
mooctochina,,,22,,TRUE,TRUE,TRUE
moongoat,,,888,Gone to the Moon as Greatest Of All Time !!,TRUE,TRUE,TRUE
morelaws,,,22,,TRUE,TRUE,TRUE
moremart,,,111,,TRUE,TRUE,TRUE
moreshop,,,111,,TRUE,TRUE,TRUE
morevote,,,33,,TRUE,TRUE,TRUE
moscowembassy,,,22,,TRUE,TRUE,TRUE
mothballnft,,,22,,TRUE,TRUE,TRUE
motheranddaughter,,,22,,TRUE,TRUE,TRUE
mototravelers,,,22,,FALSE,FALSE,TRUE
movenft,,,1414,,TRUE,TRUE,TRUE
mrnu,,,444,,TRUE,TRUE,TRUE
mufin,,,77,phonetic 'muffin',TRUE,TRUE,TRUE
muggleworld,,,11,,TRUE,TRUE,TRUE
mulletsfishcamp,,,22,,TRUE,TRUE,TRUE
multitrip,,,444,,TRUE,TRUE,TRUE
musictag,,,33,,TRUE,TRUE,TRUE
musketeerscharacters,,,88,,TRUE,TRUE,TRUE
muskovite,,,33,,TRUE,TRUE,TRUE
mwho,,,444,,TRUE,TRUE,TRUE
mxes,,,444,,TRUE,TRUE,TRUE
mxfb,,,444,,TRUE,TRUE,TRUE
myaym,,,55,my aim,TRUE,TRUE,TRUE
mybrokensea,,,22,,TRUE,TRUE,TRUE
mycatisfat,,,55,,TRUE,TRUE,TRUE
mygrane,,,22,,TRUE,TRUE,TRUE
mylookout,,,11,,TRUE,TRUE,TRUE
mynfteam,,,55,,TRUE,TRUE,TRUE
mysite21,,,55,,TRUE,TRUE,TRUE
mywreck,,,22,,TRUE,TRUE,TRUE
n-u-d-e,,,222,,TRUE,TRUE,TRUE
namebooks,,,44,,TRUE,TRUE,TRUE
namewisdom,,,22,,TRUE,TRUE,TRUE
nastyuk,,,111,nasty yuk | nasty UK,TRUE,TRUE,TRUE
nationalcostume,,,55,,FALSE,FALSE,TRUE
nationbase,,,22,,TRUE,TRUE,TRUE
nativeseed,,,22,,TRUE,TRUE,TRUE
naturaled,,,33,natural LED,TRUE,TRUE,TRUE
natureboat,,,33,,TRUE,TRUE,TRUE
naturecrossroad,,,22,,TRUE,TRUE,TRUE
naturewellbeing,,,22,,TRUE,TRUE,TRUE
ndations,,,22,,TRUE,TRUE,TRUE
netclown,,,22,,TRUE,TRUE,TRUE
netreq,,,111,,TRUE,TRUE,TRUE
neversaygoodbye,,,55,,TRUE,TRUE,TRUE
newitch,,,33,new itch | new witch,TRUE,TRUE,TRUE
nextceo,,,55,,TRUE,TRUE,TRUE
nexttip,,,44,,TRUE,TRUE,TRUE
nft169,,,11,,TRUE,TRUE,TRUE
nftaccepted,,,55,,TRUE,TRUE,TRUE
nfteggsurprise,,,222,,TRUE,TRUE,TRUE
nftjail,,,22,,TRUE,TRUE,TRUE
nftsgirl,,,33,,TRUE,TRUE,TRUE
nftsilo,,,22,,TRUE,TRUE,TRUE
nftvisa,,,88,,TRUE,TRUE,TRUE
nicedear,,,22,,TRUE,TRUE,TRUE
nicesync,,,55,,TRUE,TRUE,TRUE
nipplebanana,,,22,,TRUE,TRUE,TRUE
no-mad,,,22,,TRUE,TRUE,TRUE
no.trolling,,,,t-,FALSE,FALSE,TRUE
nongisnong,,,22,,TRUE,TRUE,TRUE
nonphixion,,,55,,TRUE,TRUE,TRUE
noob21,,,11,,TRUE,TRUE,TRUE
noob22,,,11,,TRUE,TRUE,TRUE
nordsud,,,111,FR 'north-south',TRUE,TRUE,TRUE
norise,,,22,"Latvian 'progress noun: procedure, process, run'",TRUE,TRUE,TRUE
noshnest,,,22,,TRUE,TRUE,TRUE
noteat,,,22,,TRUE,TRUE,TRUE
nothingmax,,,22,,TRUE,TRUE,TRUE
notold,,,55,,TRUE,TRUE,TRUE
nowhandshake,,,555,,TRUE,TRUE,TRUE
nowhat,,,222,"Now What!? | No, What?",TRUE,TRUE,TRUE
nseth,,,44,,TRUE,TRUE,TRUE
nudedudes,,,22,,TRUE,TRUE,TRUE
nudetoken,,,111,,TRUE,TRUE,TRUE
nuevaitalia,,,33,"SP 'New Italy' .. Michoacán, Mexico ..OR.. Paraguay",TRUE,TRUE,TRUE
nuevoguarare,,,11,"Panama, Central America",TRUE,TRUE,TRUE
nuevosanjuan,,,111,"The _centre_ of the Americas lol .. central Central America, Panama",TRUE,TRUE,TRUE
nuevovigia,,,11,"Panama, Central America",TRUE,TRUE,TRUE
nvem,,,444,envy 'em,TRUE,TRUE,TRUE
nvyr,,,444,,TRUE,TRUE,TRUE
ny-us,,,555,,TRUE,TRUE,TRUE
nytrucks,,,22,,TRUE,TRUE,TRUE
nzdefi,,,,,FALSE,FALSE,TRUE
nzhs,,,444,,TRUE,TRUE,TRUE
nznznz,,,,,FALSE,FALSE,TRUE
ofenau,,,55,of English Australian,TRUE,TRUE,TRUE
ohforkme,,,44,,TRUE,TRUE,TRUE
old-fangled,,,33,,TRUE,TRUE,TRUE
oldnerd,,,111,,TRUE,TRUE,TRUE
oldog,,,111,,TRUE,TRUE,TRUE
omejie,,,11,mis-spelling of 'emojie',TRUE,TRUE,TRUE
omgalol,,,22,,TRUE,TRUE,TRUE
onebadday,,,22,,TRUE,TRUE,TRUE
oneillusa,,,22,,TRUE,TRUE,TRUE
onestraw,,,22,,TRUE,TRUE,TRUE
oneuni,,,111,,TRUE,TRUE,TRUE
onlineshopchina,,,22,,TRUE,TRUE,TRUE
onlyscam,,,55,,TRUE,TRUE,TRUE
onoo,,,444,oooohh nooo...!\n Get ttps://www.namebase.io/domains/00no too!,TRUE,TRUE,TRUE
ontheqt,,,22,,TRUE,TRUE,TRUE
openuser,,,111,,TRUE,TRUE,TRUE
orgm,,,444,orgasm,TRUE,TRUE,TRUE
orgq,,,444,orgy queue,TRUE,TRUE,TRUE
oronas,,,22,,TRUE,TRUE,TRUE
orthx,,,11,,TRUE,TRUE,TRUE
osterwasser,,,22,DE 'Easter water',TRUE,TRUE,TRUE
ouratlas,,,22,,TRUE,TRUE,TRUE
ourspring,,,22,,TRUE,TRUE,TRUE
outrick,,,55,,TRUE,TRUE,TRUE
ovcari,,,22,Bosnian 'sheep',TRUE,TRUE,TRUE
overearn,,,55,,TRUE,TRUE,TRUE
ox-eye,,,11,,TRUE,TRUE,TRUE
oyic,,,444,,TRUE,TRUE,TRUE
ozreni,,,22,BU 'mature',TRUE,TRUE,TRUE
pacificwine,,,22,,TRUE,TRUE,TRUE
painpal,,,22,,TRUE,TRUE,TRUE
painsomnia,,,22,,TRUE,TRUE,TRUE
pairoff,,,55,,TRUE,TRUE,TRUE
paleohns,,,345,want to list early registered names..?,TRUE,TRUE,TRUE
panprog,,,22,,TRUE,TRUE,TRUE
parysh,,,22,[parish],TRUE,TRUE,TRUE
passwordsharing,,,33,,TRUE,TRUE,TRUE
pdfcloud,,,33,,TRUE,TRUE,TRUE
peacecats,,,22,,TRUE,TRUE,TRUE
peacemaxi,,,22,,TRUE,TRUE,TRUE
peacequiet,,,44,,TRUE,TRUE,TRUE
pechenet,,,22,,TRUE,TRUE,TRUE
pedrose,,,69,,TRUE,TRUE,TRUE
pensexpert,,,22,,TRUE,TRUE,TRUE
pept,,,444,"excited, 'pepped' | Philippine Educational Placement Test",TRUE,TRUE,TRUE
personise,,,111,,TRUE,TRUE,TRUE
pervici,,,11,perv is he',TRUE,TRUE,TRUE
pesk,,,444,,TRUE,TRUE,TRUE
petcows,,,55,,TRUE,TRUE,TRUE
peuu,,,444,,TRUE,TRUE,TRUE
pharmapurse,,,11,,TRUE,TRUE,TRUE
phnsi,,,22,,TRUE,TRUE,TRUE
phoenixed,,,55,,TRUE,TRUE,TRUE
photodojo,,,444,,TRUE,TRUE,TRUE
photofacts,,,222,,FALSE,FALSE,TRUE
pimpmylife,,,22,,TRUE,TRUE,TRUE
pirateradioship,,,77,,TRUE,TRUE,TRUE
pivt,,,444,,TRUE,TRUE,TRUE
pixelogic,,,55,,TRUE,TRUE,TRUE
planshe,,,222,plan-she | plans-he,TRUE,TRUE,TRUE
plurali,,,22,,TRUE,TRUE,TRUE
poddrezanj,,,55,Slovenian 'undercuts',TRUE,TRUE,TRUE
podgalevi,,,22,BU subchapters,TRUE,TRUE,TRUE
polygraphy,,,333,,TRUE,TRUE,TRUE
pop-it,,,22,,TRUE,TRUE,TRUE
poppizzazz,,,22,,TRUE,TRUE,TRUE
pornosession,,,55,,TRUE,TRUE,TRUE
posern,,,22,"Was a province of Prussia; present-day Poznań, Poland - https://en.wikipedia.org/wiki/Province_of_Posen [also surname]",TRUE,TRUE,TRUE
poshcats,,,22,,TRUE,TRUE,TRUE
prayas,,,22,,TRUE,TRUE,TRUE
precrowd,,,999,,TRUE,TRUE,TRUE
prettyontheinside,,,22,,TRUE,TRUE,TRUE
price-watch,,,44,,TRUE,TRUE,TRUE
pricedefi,,,22,,TRUE,TRUE,TRUE
primetip,,,22,,TRUE,TRUE,TRUE
pritty,,,22,,TRUE,TRUE,TRUE
privacyapp,,,66,,TRUE,TRUE,TRUE
proofwin,,,22,,TRUE,TRUE,TRUE
protoprogram,,,22,,TRUE,TRUE,TRUE
pterophorid,,,22,"tiny plume moths, a family of Lepidoptera with unusually modified wings",TRUE,TRUE,TRUE
pubmata,,,22,,TRUE,TRUE,TRUE
punxart,,,222,,TRUE,TRUE,TRUE
purrjoy,,,22,,TRUE,TRUE,TRUE
px__xq,,,22,,TRUE,TRUE,TRUE
pyot,,,444,pik-ur-own-talent\team\time\trash | Put Yourself Out There | Print Your Own Tee | magpie | piebald horse,TRUE,TRUE,TRUE
qsks,,,444,q asks .. asks questions,TRUE,TRUE,TRUE
